,job_name,company,country,location,min_salary,max_salary,description,posted_date,work_type,tags,source
10,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Castalian Springs, Sumner County",49914.35,49914.35,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:38Z,unknown,it-jobs,adzuna
11,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Nashville, Davidson County",48524.47,48524.47,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T16:27:48Z,unknown,it-jobs,adzuna
12,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Joelton, Davidson County",48977.26,48977.26,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:41Z,unknown,it-jobs,adzuna
13,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Pegram, Cheatham County",48739.02,48739.02,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
14,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Northeast, Davidson County",53575.15,53575.15,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T10:27:58Z,unknown,it-jobs,adzuna
15,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Belle Meade, Davidson County",71080.47,71080.47,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:39Z,unknown,it-jobs,adzuna
16,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Dickson, Dickson County",47622.52,47622.52,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T10:27:58Z,unknown,it-jobs,adzuna
17,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"White House, Robertson County",51029.12,51029.12,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:39Z,unknown,it-jobs,adzuna
18,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"La Vergne, Rutherford County",54569.71,54569.71,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-30T04:32:41Z,unknown,it-jobs,adzuna
19,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Lakewood, Davidson County",50313.98,50313.98,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:41Z,unknown,it-jobs,adzuna
20,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Adairville, Logan County",50013.46,50013.46,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:40Z,unknown,it-jobs,adzuna
21,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Woodbine, Davidson County",56861.77,56861.77,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:39Z,unknown,it-jobs,adzuna
22,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Hilldale, Montgomery County",43214.86,43214.86,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:43Z,unknown,it-jobs,adzuna
23,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Kingston Springs, Cheatham County",47653.45,47653.45,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:46Z,unknown,it-jobs,adzuna
24,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Orlinda, Robertson County",51812.25,51812.25,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:41Z,unknown,it-jobs,adzuna
25,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Portland, Sumner County",57401.11,57401.11,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:46Z,unknown,it-jobs,adzuna
26,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Ashland City, Cheatham County",49752.9,49752.9,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:41Z,unknown,it-jobs,adzuna
27,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Hendersonville, Sumner County",58339.42,58339.42,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T04:28:08Z,unknown,it-jobs,adzuna
28,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Whites Creek, Davidson County",47878.35,47878.35,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T04:28:08Z,unknown,it-jobs,adzuna
29,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Rockvale, Rutherford County",51285.16,51285.16,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-29T04:28:10Z,unknown,it-jobs,adzuna
30,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Chapmansboro, Cheatham County",55631.78,55631.78,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:38Z,unknown,it-jobs,adzuna
31,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Goodlettsville, Davidson County",50267.94,50267.94,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-09-02T06:10:03Z,unknown,it-jobs,adzuna
32,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Antioch, Davidson County",58051.44,58051.44,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-09-02T06:10:02Z,unknown,it-jobs,adzuna
33,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Greenbrier, Robertson County",60164.8,60164.8,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:38Z,unknown,it-jobs,adzuna
34,"data scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Ridgetop, Robertson County",48208.74,48208.74,"Now Brewing – Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Scientist, you’ll support business decisions by partnering on a cross-functional team to understand complex data relationships and build core data science mode…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
35,Data Scientist,Lyft,US,US,108054.1,108054.1,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Responsibilities: Partner with Engineers, Product Managers, and Business Partners to frame problems, both mathematically and within the business context. Perform exploratory data analysis to gain a deeper understanding of the problem. Construct and fit statistical, machine learning, or optimization models. Write production model…",2026-09-03T12:45:31Z,unknown,it-jobs,adzuna
36,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Orlinda, Robertson County",71546.61,71546.61,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:38Z,unknown,it-jobs,adzuna
37,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Hendersonville, Sumner County",80559.78,80559.78,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-29T04:28:11Z,unknown,it-jobs,adzuna
38,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Nashville, Davidson County",85249.73,85249.73,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:38Z,unknown,it-jobs,adzuna
39,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Franklin, Simpson County",67502.43,67502.43,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-29T10:27:58Z,unknown,it-jobs,adzuna
40,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Hermitage, Davidson County",80743.3,80743.3,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
41,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Rockvale, Rutherford County",70818.69,70818.69,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-29T04:28:08Z,unknown,it-jobs,adzuna
42,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Dickson, Dickson County",65761.02,65761.02,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-30T04:32:40Z,unknown,it-jobs,adzuna
43,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Cedar Hill, Robertson County",66764.69,66764.69,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:46Z,unknown,it-jobs,adzuna
44,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Adairville, Logan County",69062.68,69062.68,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:44Z,unknown,it-jobs,adzuna
45,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Forest Hills, Davidson County",83196.33,83196.33,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:41Z,unknown,it-jobs,adzuna
46,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Mitchellville, Sumner County",71800.61,71800.61,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:42Z,unknown,it-jobs,adzuna
47,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Bellevue, Davidson County",62123.26,62123.26,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:40Z,unknown,it-jobs,adzuna
48,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Cross Plains, Robertson County",69817.55,69817.55,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:45Z,unknown,it-jobs,adzuna
49,"Senior/Lead Data Scientist, Data & Analytics (Nashville, TN)",Starbucks,US,"Eagleville, Rutherford County",68569.88,68569.88,"Now Brewing – Senior/Lead Data Scientist! tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Senior Data Scientist, you’ll help guide business decisions by building and applying statistical and machine learning approaches to solve high-impa…",2026-08-28T22:50:43Z,unknown,it-jobs,adzuna
50,Data Scientist,Ocho,UK,"Belfast, Northern Ireland",70000.0,70000.0,"Data Scientist Mid to senior Data Scientist role within a global business Full ML and AI lifecycle across traditional ML, LLMs, RAG and agentic AI workflows Belfast based, hybrid (2 days at home per week) Salary reflecting experience, competitive package UK work authorisation required About the Company Our client is a well-established US business with a growing Belfast technology team focused on data science, machine learning and platform development. Operating in a greenfield environment, the …",2026-08-12T15:08:33Z,hybrid,it-jobs,adzuna
51,Data Scientist,Hackajob Ltd,UK,"Frimley, Camberley",90000.0,90000.0,"hackajob is partnering directly with BAE Systems Digital Intelligence to hire for this role. Location(s): UK, Europe & Africa : UK : Frimley BAE Systems Digital Intelligence is home to 4,500 digital, cyber and intelligence experts. We work collaboratively across 10 countries to collect, connect and understand complex data, so that governments, nation states, armed forces and commercial businesses can unlock digital advantage in the most demanding environments. Location: South of England - 4-5 d…",2026-08-22T05:38:34Z,unknown,it-jobs,adzuna
52,Senior Data Scientist,Ocho,UK,"Belfast, Northern Ireland",100000.0,100000.0,"Senior Data Scientist (ML Platform & Production) Senior individual contributor role at a scaling AI-first software business Own the full data-to-production lifecycle across ML models, agents and platform infrastructure Belfast based, hybrid working Salary £95,000 to £110,000 UK work authorisation required About the Company Our client is a fast-scaling, AI-first software business building cutting-edge agent and LLM-based systems at scale. With a cross-functional engineering team and a genuine co…",2026-08-19T15:31:51Z,hybrid,engineering-jobs,adzuna
53,Data Scientist,Ntt Data,UK,"London, UK",61153.77,61153.77,We are looking for a Data Scientist with at least 5 years of experience in client-facing roles. The ideal candidate will have strong proficiency in Python or R and experience with machine learning and data analysis. A Bachelor’s or Master’s degree in a relevant field is required. You will collaborate with stakeholders to deliver data-driven insights and recommendations. What youll be doing: • Partner with business stakeholders to identify and prioritise opportunities where data science can deli…,2026-08-29T15:29:26Z,unknown,it-jobs,adzuna
54,Data Scientist / Senior Data Scientist,C3 AI,UK,"London, UK",59484.39,59484.39,"As a member of the C3 AI Data Science team, you will work with some of the largest companies on the planet helping them build the next generation of AI-powered enterprise applications on the C3 AI Platform (c3.ai/customers/). You will work directly with data scientists, software engineers, and subject matter experts in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions and enable their digital transformation. You wi…",2026-08-02T13:00:14Z,unknown,it-jobs,adzuna
55,Data Science Analyst (Contract),VANRATH,UK,"Belfast, Northern Ireland",60000.0,60000.0,"Data Science Analyst (Contract) Location: Belfast Start: ASAP Duration: 6 Months (Likely Extension) We're looking for a Data Science Analyst with strong Python and SQL skills to join a global technology leader. If you're passionate about solving complex data challenges, building automation, and delivering high-impact analytical solutions, this contract offers the opportunity to work on cutting-edge projects in a fast-paced environment. The Role You will play a key role in supporting data-driven…",2026-08-19T15:31:50Z,unknown,it-jobs,adzuna
56,"Director, Data Science",Brainlabs,UK,UK,92434.33,92434.33,"Brainlabs is the independent, founder-led agency building the future of media. We have over 1000 Brainlabbers based across the global, all united through the 12 principles laid out in our Culture Code. Were full-service, with people and AI agents working side by side, all aligned to one thing: maximizing our clients revenue through a genuinely scientific approach to media. If you want to help play your part in achieving this for the worlds biggest brands in an environment that will support and …",2026-08-22T15:03:07Z,unknown,it-jobs,adzuna
57,Lead Data Scientist,Mastercard,UK,"London, UK",43728.35,43728.35,"In the Financial Crime Solutions team at Mastercard, we build and deliver products and services powered by payments data to find and stop financial crime. We’re an award winning team with a proven track record of combining data science technique with an intimate knowledge of payments data to aid Financial Institutions in their fight against money laundering and fraud. Headquartered in The City of London, and operating globally, we craft bespoke algorithms that help our clients gain an understan…",2026-07-15T13:29:26Z,unknown,it-jobs,adzuna
